"","Survived","Pclass","Sex","SibSp","Parch","Fare","Embarked","segment_edat"
"1","0","3","male","1","0",7.25,"S","20-29"
"2","1","1","female","1","0",71.2833,"C","30-39"
"3","1","3","female","0","0",7.925,"S","20-29"
"4","1","1","female","1","0",53.1,"S","30-39"
"5","0","3","male","0","0",8.05,"S","30-39"
"6","0","3","male","0","0",8.4583,"Q","20-29"
"7","0","1","male","0","0",51.8625,"S","50-59"
"8","0","3","male","3","1",21.075,"S","0-9"
"9","1","3","female","0","2",11.1333,"S","20-29"
"10","1","2","female","1","0",30.0708,"C","10-19"
"11","1","3","female","1","1",16.7,"S","0-9"
"12","1","1","female","0","0",26.55,"S","50-59"
"13","0","3","male","0","0",8.05,"S","10-19"
"14","0","3","male","1","5",31.275,"S","30-39"
"15","0","3","female","0","0",7.8542,"S","10-19"
"16","1","2","female","0","0",16,"S","50-59"
"17","0","3","male","4","1",29.125,"Q","0-9"
"18","1","2","male","0","0",13,"S","20-29"
"19","0","3","female","1","0",18,"S","30-39"
"20","1","3","female","0","0",7.225,"C","20-29"
"21","0","2","male","0","0",26,"S","30-39"
"22","1","2","male","0","0",13,"S","30-39"
"23","1","3","female","0","0",8.0292,"Q","10-19"
"24","1","1","male","0","0",35.5,"S","20-29"
"25","0","3","female","3","1",21.075,"S","0-9"
"26","1","3","female","1","5",31.3875,"S","30-39"
"27","0","3","male","0","0",7.225,"C","20-29"
"28","0","1","male","3","2",263,"S","10-19"
"29","1","3","female","0","0",7.8792,"Q","20-29"
"30","0","3","male","0","0",7.8958,"S","20-29"
"31","0","1","male","0","0",27.7208,"C","30-39"
"32","1","1","female","1","0",146.5208,"C","20-29"
"33","1","3","female","0","0",7.75,"Q","20-29"
"34","0","2","male","0","0",10.5,"S","60-69"
"35","0","1","male","1","0",82.1708,"C","20-29"
"36","0","1","male","1","0",52,"S","40-49"
"37","1","3","male","0","0",7.2292,"C","20-29"
"38","0","3","male","0","0",8.05,"S","20-29"
"39","0","3","female","2","0",18,"S","10-19"
"40","1","3","female","1","0",11.2417,"C","10-19"
"41","0","3","female","1","0",9.475,"S","30-39"
"42","0","2","female","1","0",21,"S","20-29"
"43","0","3","male","0","0",7.8958,"C","20-29"
"44","1","2","female","1","2",41.5792,"C","0-9"
"45","1","3","female","0","0",7.8792,"Q","10-19"
"46","0","3","male","0","0",8.05,"S","20-29"
"47","0","3","male","1","0",15.5,"Q","20-29"
"48","1","3","female","0","0",7.75,"Q","20-29"
"49","0","3","male","2","0",21.6792,"C","20-29"
"50","0","3","female","1","0",17.8,"S","10-19"
"51","0","3","male","4","1",39.6875,"S","0-9"
"52","0","3","male","0","0",7.8,"S","20-29"
"53","1","1","female","1","0",76.7292,"C","40-49"
"54","1","2","female","1","0",26,"S","20-29"
"55","0","1","male","0","1",61.9792,"C","60-69"
"56","1","1","male","0","0",35.5,"S","20-29"
"57","1","2","female","0","0",10.5,"S","20-29"
"58","0","3","male","0","0",7.2292,"C","20-29"
"59","1","2","female","1","2",27.75,"S","0-9"
"60","0","3","male","5","2",46.9,"S","10-19"
"61","0","3","male","0","0",7.2292,"C","20-29"
"62","1","1","female","0","0",80,"Desconegut","30-39"
"63","0","1","male","1","0",83.475,"S","40-49"
"64","0","3","male","3","2",27.9,"S","0-9"
"65","0","1","male","0","0",27.7208,"C","20-29"
"66","1","3","male","1","1",15.2458,"C","20-29"
"67","1","2","female","0","0",10.5,"S","20-29"
"68","0","3","male","0","0",8.1583,"S","10-19"
"69","1","3","female","4","2",7.925,"S","10-19"
"70","0","3","male","2","0",8.6625,"S","20-29"
"71","0","2","male","0","0",10.5,"S","30-39"
"72","0","3","female","5","2",46.9,"S","10-19"
"73","0","2","male","0","0",73.5,"S","20-29"
"74","0","3","male","1","0",14.4542,"C","20-29"
"75","1","3","male","0","0",56.4958,"S","30-39"
"76","0","3","male","0","0",7.65,"S","20-29"
"77","0","3","male","0","0",7.8958,"S","20-29"
"78","0","3","male","0","0",8.05,"S","20-29"
"79","1","2","male","0","2",29,"S","0-9"
"80","1","3","female","0","0",12.475,"S","20-29"
"81","0","3","male","0","0",9,"S","20-29"
"82","1","3","male","0","0",9.5,"S","20-29"
"83","1","3","female","0","0",7.7875,"Q","20-29"
"84","0","1","male","0","0",47.1,"S","20-29"
"85","1","2","female","0","0",10.5,"S","10-19"
"86","1","3","female","3","0",15.85,"S","30-39"
"87","0","3","male","1","3",34.375,"S","10-19"
"88","0","3","male","0","0",8.05,"S","20-29"
"89","1","1","female","3","2",263,"S","20-29"
"90","0","3","male","0","0",8.05,"S","20-29"
"91","0","3","male","0","0",8.05,"S","20-29"
"92","0","3","male","0","0",7.8542,"S","10-19"
"93","0","1","male","1","0",61.175,"S","40-49"
"94","0","3","male","1","2",20.575,"S","20-29"
"95","0","3","male","0","0",7.25,"S","50-59"
"96","0","3","male","0","0",8.05,"S","20-29"
